Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
09/12/1989;5.6;10.2;null;null;null;null
10/12/1989;5.4;3.9;null;null;null;null
11/12/1989;3;.3;null;null;null;null
12/12/1989;1.8;2.8;null;null;null;null
13/12/1989;2.6;4.9;null;null;null;null
14/12/1989;2;.2;null;null;null;null
15/12/1989;1;.6;null;null;null;null
16/12/1989;1;3.8;null;null;null;null
17/12/1989;3.8;6.1;null;null;null;null
18/12/1989;6.7;8.9;null;null;null;null
19/12/1989;6;5.1;null;null;null;null
20/12/1989;2.5;0;null;null;null;null
21/12/1989;1.4;5.8;null;null;null;null
22/12/1989;3.1;9.5;null;null;null;null
23/12/1989;4.5;10.8;null;null;null;null
24/12/1989;4.9;10.5;null;null;null;null
25/12/1989;5;8.4;null;null;null;null
26/12/1989;4.4;1.5;null;null;null;null
27/12/1989;1.3;.9;null;null;null;null
28/12/1989;1.5;.1;null;null;null;null
29/12/1989;2.7;.2;null;null;null;null
30/12/1989;2.6;.5;null;null;null;null
31/12/1989;1.4;2.3;null;null;null;null
01/01/1990;1.5;.1;null;22.4;93;null
02/01/1990;.5;1.1;null;24.1;85.3;null
03/01/1990;1.4;1.1;null;22.9;88.8;null
04/01/1990;1.4;0;null;21.9;95.8;null
05/01/1990;.7;5.6;null;23.6;82;null
06/01/1990;1.7;6.6;null;24.6;83.8;null
07/01/1990;1.9;9.6;null;25.6;65.8;null
08/01/1990;3.5;10.6;null;26.2;54.5;null
09/01/1990;5.2;9.2;null;24.5;71.8;null
10/01/1990;3.2;4.2;null;24.4;80;null
11/01/1990;2.3;3.2;null;25.9;73.5;null
12/01/1990;3.3;9.7;null;25;75.5;null
13/01/1990;3;8.7;null;25.4;82;null
14/01/1990;3.3;11.6;null;27.8;60.8;null
15/01/1990;5.5;9.1;null;25.8;73.3;null
16/01/1990;4.4;8.8;null;26.4;74.8;null
17/01/1990;3.3;9;null;26.6;63.8;null
18/01/1990;4.2;9.2;null;26.7;67.5;null
19/01/1990;4.5;8.8;null;25.8;68;null
20/01/1990;4.4;6.2;null;25.5;74;null
21/01/1990;3.1;7;null;24.3;79;null
22/01/1990;3.1;6.3;null;23.6;79.3;null
23/01/1990;2.8;3.7;null;24.9;77.3;null
24/01/1990;2.8;8.1;null;25.6;72.5;null
25/01/1990;3.2;8.9;null;24.7;75.5;null
26/01/1990;4.3;7.2;null;26.2;71.3;null
27/01/1990;4;9.4;null;25;70.5;null
28/01/1990;4.7;11.8;null;25.8;51.3;null
29/01/1990;5.8;11.2;null;26;60.5;null
30/01/1990;5.4;12.7;null;27;53.3;null
31/01/1990;5.8;9.9;null;26.6;56;null
01/02/1990;5.8;0;null;26;60;null
02/02/1990;6.9;null;null;25.1;63.3;null
03/02/1990;5.6;null;null;25.5;56;null
04/02/1990;6.7;null;null;24;68.3;null
05/02/1990;5.5;null;null;25.6;66.8;null
06/02/1990;6;null;null;25.4;66;null
07/02/1990;5.1;null;null;26.3;60.5;null
08/02/1990;5.1;null;null;27.4;62;null
09/02/1990;4.6;null;null;24;79;null
10/02/1990;3.2;null;null;23;81;null
11/02/1990;2.9;null;null;25.1;67.5;null
12/02/1990;3.9;null;null;25.4;66.8;null
13/02/1990;3.6;null;null;24.8;78.3;null
14/02/1990;2.3;3;null;24.2;83;null
15/02/1990;2.2;6.2;null;25;83.8;null
16/02/1990;1.7;8.3;null;25.5;75.5;null
17/02/1990;4.2;11.1;null;27.2;61.3;null
18/02/1990;5.2;10.4;null;24.8;72.8;null
19/02/1990;4.8;3.8;null;24.1;61.8;null
20/02/1990;4;5.8;null;23.2;70.3;null
21/02/1990;4.3;8.3;null;23.3;80;null
22/02/1990;3.2;.8;null;23.9;76.8;null
23/02/1990;2.5;.5;null;22.2;89;null
24/02/1990;1;9;null;22.4;82.3;null
25/02/1990;2.7;0;null;22.1;95.8;null
26/02/1990;.7;0;null;21.8;96;null
27/02/1990;.5;1.6;null;23;90.3;null
28/02/1990;1.3;.7;null;21.4;92.3;null
01/03/1990;.7;5.3;null;22.6;85.5;null
02/03/1990;null;null;null;null;null;null
03/03/1990;null;null;null;null;null;null
04/03/1990;null;null;null;null;null;null
05/03/1990;null;null;null;null;null;null
06/03/1990;null;null;null;null;null;null
07/03/1990;null;null;null;null;null;null
08/03/1990;null;null;null;null;null;null
09/03/1990;null;null;null;null;null;null
10/03/1990;null;null;null;null;null;null
11/03/1990;null;null;null;null;null;null
12/03/1990;null;null;null;null;null;null
13/03/1990;null;null;null;null;null;null
14/03/1990;null;null;null;null;null;null
15/03/1990;null;null;null;null;null;null
16/03/1990;null;null;null;null;null;null
17/03/1990;null;null;null;null;null;null
18/03/1990;null;null;null;null;null;null
19/03/1990;null;null;null;null;null;null
20/03/1990;null;null;null;null;null;null
21/03/1990;null;null;null;null;null;null
22/03/1990;null;null;null;null;null;null
23/03/1990;null;null;null;null;null;null
24/03/1990;null;null;null;null;null;null
25/03/1990;null;null;null;null;null;null
26/03/1990;null;null;null;null;null;null
27/03/1990;null;null;null;null;null;null
28/03/1990;null;null;null;null;null;null
29/03/1990;null;null;null;null;null;null
30/03/1990;null;null;null;null;null;null
31/03/1990;null;null;null;null;null;null
01/04/1990;null;null;null;null;null;null
02/04/1990;null;null;null;null;null;null
03/04/1990;null;null;null;null;null;null
04/04/1990;null;null;null;null;null;null
05/04/1990;null;null;null;null;null;null
06/04/1990;null;null;null;null;null;null
07/04/1990;null;null;null;null;null;null
08/04/1990;null;null;null;null;null;null
09/04/1990;null;null;null;null;null;null
10/04/1990;null;null;null;null;null;null
11/04/1990;null;null;null;null;null;null
12/04/1990;null;null;null;null;null;null
13/04/1990;null;null;null;null;null;null
14/04/1990;null;null;null;null;null;null
15/04/1990;null;null;null;null;null;null
16/04/1990;null;null;null;null;null;null
17/04/1990;null;null;null;null;null;null
18/04/1990;null;null;null;null;null;null
19/04/1990;null;null;null;null;null;null
20/04/1990;null;null;null;null;null;null
21/04/1990;null;null;null;null;null;null
22/04/1990;null;null;null;null;null;null
23/04/1990;null;null;null;null;null;null
24/04/1990;null;null;null;null;null;null
25/04/1990;null;null;null;null;null;null
26/04/1990;null;null;null;null;null;null
27/04/1990;null;null;null;null;null;null
28/04/1990;null;null;null;null;null;null
29/04/1990;null;null;null;null;null;null
30/04/1990;null;null;null;null;null;null
01/05/1990;null;null;null;null;null;null
02/05/1990;null;null;null;null;null;null
03/05/1990;null;null;null;null;null;null
04/05/1990;null;null;null;null;null;null
05/05/1990;null;null;null;null;null;null
06/05/1990;null;null;null;null;null;null
07/05/1990;null;null;null;null;null;null
08/05/1990;null;null;null;null;null;null
09/05/1990;null;null;null;null;null;null
10/05/1990;null;null;null;null;null;null
11/05/1990;null;null;null;null;null;null
12/05/1990;null;null;null;null;null;null
13/05/1990;null;null;null;null;null;null
14/05/1990;null;null;null;null;null;null
15/05/1990;null;null;null;null;null;null
16/05/1990;null;null;null;null;null;null
17/05/1990;null;null;null;null;null;null
18/05/1990;null;null;null;null;null;null
19/05/1990;null;null;null;null;null;null
20/05/1990;null;null;null;null;null;null
21/05/1990;null;null;null;null;null;null
22/05/1990;null;null;null;null;null;null
23/05/1990;null;null;null;null;null;null
24/05/1990;null;null;null;null;null;null
25/05/1990;null;null;null;null;null;null
26/05/1990;null;null;null;null;null;null
27/05/1990;null;null;null;null;null;null
28/05/1990;null;null;null;null;null;null
29/05/1990;null;null;null;null;null;null
30/05/1990;null;null;null;null;null;null
31/05/1990;null;null;null;null;null;null
01/06/1990;null;null;null;null;null;null
02/06/1990;null;null;null;null;null;null
03/06/1990;null;null;null;null;null;null
04/06/1990;null;null;null;null;null;null
05/06/1990;null;null;null;null;null;null
06/06/1990;null;null;null;null;null;null
07/06/1990;null;null;null;null;null;null
08/06/1990;null;null;null;null;null;null
09/06/1990;null;null;null;null;null;null
10/06/1990;null;null;null;null;null;null
11/06/1990;null;null;null;null;null;null
12/06/1990;null;null;null;null;null;null
13/06/1990;null;null;null;null;null;null
14/06/1990;null;null;null;null;null;null
15/06/1990;null;null;null;null;null;null
16/06/1990;null;null;null;null;null;null
17/06/1990;null;null;null;null;null;null
18/06/1990;null;null;null;null;null;null
19/06/1990;null;null;null;null;null;null
20/06/1990;null;null;null;null;null;null
21/06/1990;null;null;null;null;null;null
22/06/1990;null;null;null;null;null;null
23/06/1990;null;null;null;null;null;null
24/06/1990;null;null;null;null;null;null
25/06/1990;null;null;null;null;null;null
26/06/1990;null;null;null;null;null;null
27/06/1990;null;null;null;null;null;null
28/06/1990;null;null;null;null;null;null
29/06/1990;null;null;null;null;null;null
30/06/1990;null;null;null;null;null;null
01/07/1990;null;null;null;null;null;null
02/07/1990;null;null;null;null;null;null
03/07/1990;null;null;null;null;null;null
04/07/1990;null;null;null;null;null;null
05/07/1990;null;null;null;null;null;null
06/07/1990;null;null;null;null;null;null
07/07/1990;null;null;null;null;null;null
08/07/1990;null;null;null;null;null;null
09/07/1990;null;null;null;null;null;null
10/07/1990;null;null;null;null;null;null
11/07/1990;null;null;null;null;null;null
12/07/1990;null;null;null;null;null;null
13/07/1990;null;null;null;null;null;null
14/07/1990;null;null;null;null;null;null
15/07/1990;null;null;null;null;null;null
16/07/1990;null;null;null;null;null;null
17/07/1990;null;null;null;null;null;null
18/07/1990;null;null;null;null;null;null
19/07/1990;null;null;null;null;null;null
20/07/1990;null;null;null;null;null;null
21/07/1990;null;null;null;null;null;null
22/07/1990;null;null;null;null;null;null
23/07/1990;null;null;null;null;null;null
24/07/1990;null;null;null;null;null;null
25/07/1990;null;null;null;null;null;null
26/07/1990;null;null;null;null;null;null
27/07/1990;null;null;null;null;null;null
28/07/1990;null;null;null;null;null;null
29/07/1990;null;null;null;null;null;null
30/07/1990;null;null;null;null;null;null
31/07/1990;null;null;null;null;null;null
01/08/1990;null;null;null;null;null;null
02/08/1990;null;null;null;null;null;null
03/08/1990;null;null;null;null;null;null
04/08/1990;null;null;null;null;null;null
05/08/1990;null;null;null;null;null;null
06/08/1990;null;null;null;null;null;null
07/08/1990;null;null;null;null;null;null
08/08/1990;null;null;null;null;null;null
09/08/1990;null;null;null;null;null;null
10/08/1990;null;null;null;null;null;null
11/08/1990;null;null;null;null;null;null
12/08/1990;null;null;null;null;null;null
13/08/1990;null;null;null;null;null;null
14/08/1990;null;null;null;null;null;null
15/08/1990;null;null;null;null;null;null
16/08/1990;null;null;null;null;null;null
17/08/1990;null;null;null;null;null;null
18/08/1990;null;null;null;null;null;null
19/08/1990;null;null;null;null;null;null
20/08/1990;null;null;null;null;null;null
21/08/1990;null;null;null;null;null;null
22/08/1990;null;null;null;null;null;null
23/08/1990;null;null;null;null;null;null
24/08/1990;null;null;null;null;null;null
25/08/1990;null;null;null;null;null;null
26/08/1990;null;null;null;null;null;null
27/08/1990;null;null;null;null;null;null
28/08/1990;null;null;null;null;null;null
29/08/1990;null;null;null;null;null;null
30/08/1990;null;null;null;null;null;null
31/08/1990;null;null;null;null;null;null
01/09/1990;null;null;null;null;null;null
02/09/1990;null;null;null;null;null;null
03/09/1990;null;null;null;null;null;null
04/09/1990;null;null;null;null;null;null
05/09/1990;null;null;null;null;null;null
06/09/1990;null;null;null;null;null;null
07/09/1990;null;null;null;null;null;null
08/09/1990;null;null;null;null;null;null
09/09/1990;null;null;null;null;null;null
10/09/1990;null;null;null;null;null;null
11/09/1990;null;null;null;null;null;null
12/09/1990;null;null;null;null;null;null
13/09/1990;null;null;null;null;null;null
14/09/1990;null;null;null;null;null;null
15/09/1990;null;null;null;null;null;null
16/09/1990;null;null;null;null;null;null
17/09/1990;null;null;null;null;null;null
18/09/1990;null;null;null;null;null;null
19/09/1990;null;null;null;null;null;null
20/09/1990;null;null;null;null;null;null
21/09/1990;null;null;null;null;null;null
22/09/1990;null;null;null;null;null;null
23/09/1990;null;null;null;null;null;null
24/09/1990;null;null;null;null;null;null
25/09/1990;null;null;null;null;null;null
26/09/1990;null;null;null;null;null;null
27/09/1990;null;null;null;null;null;null
28/09/1990;null;null;null;null;null;null
29/09/1990;null;null;null;null;null;null
30/09/1990;null;null;null;null;null;null
01/10/1990;null;null;null;null;null;null
02/10/1990;null;null;null;null;null;null
03/10/1990;null;null;null;null;null;null
04/10/1990;null;null;null;null;null;null
05/10/1990;null;null;null;null;null;null
06/10/1990;null;null;null;null;null;null
07/10/1990;null;null;null;null;null;null
08/10/1990;null;null;null;null;null;null
09/10/1990;null;null;null;null;null;null
10/10/1990;null;null;null;null;null;null
11/10/1990;null;null;null;null;null;null
12/10/1990;null;null;null;null;null;null
13/10/1990;null;null;null;null;null;null
14/10/1990;null;null;null;null;null;null
15/10/1990;null;null;null;null;null;null
16/10/1990;null;null;null;null;null;null
17/10/1990;null;null;null;null;null;null
18/10/1990;null;null;null;null;null;null
19/10/1990;null;null;null;null;null;null
20/10/1990;null;null;null;null;null;null
21/10/1990;null;null;null;null;null;null
22/10/1990;null;null;null;null;null;null
23/10/1990;null;null;null;null;null;null
24/10/1990;null;null;null;null;null;null
25/10/1990;null;null;null;null;null;null
26/10/1990;null;null;null;null;null;null
27/10/1990;null;null;null;null;null;null
28/10/1990;null;null;null;null;null;null
29/10/1990;null;null;null;null;null;null
30/10/1990;null;null;null;null;null;null
31/10/1990;null;null;null;null;null;null
01/11/1990;2.8;0;null;22.6;79;null
02/11/1990;3.3;null;null;22.6;86;null
03/11/1990;2.2;null;null;24.8;79.8;null
04/11/1990;3.5;null;null;25.4;71.8;null
05/11/1990;3.8;null;null;22.6;94.5;null
06/11/1990;2.1;null;null;18;93.3;null
07/11/1990;.8;null;null;23.6;75;null
08/11/1990;2.7;null;null;23;84.3;null
09/11/1990;1.9;null;null;25.4;74.3;null
10/11/1990;2.2;null;null;24.4;79;null
11/11/1990;3.4;null;null;23.4;82.5;null
12/11/1990;.9;null;null;23.8;77;null
13/11/1990;1;null;null;26;78;null
14/11/1990;1.2;null;null;27.5;67.3;null
15/11/1990;.7;null;null;29.4;53.8;null
16/11/1990;1.6;null;null;27.7;66.8;null
17/11/1990;1.4;null;null;24.7;73.5;null
18/11/1990;1.1;null;null;25;77.8;null
19/11/1990;1.8;null;null;25.8;64;null
20/11/1990;1.9;null;null;25;70.3;null
21/11/1990;2.2;null;null;26;58;null
22/11/1990;5.8;null;null;25.7;63;null
23/11/1990;5.9;null;null;23.4;87.3;null
24/11/1990;2.8;null;null;22;85.3;null
25/11/1990;1.3;null;null;22.7;84;null
26/11/1990;2.2;null;null;24.2;74.5;null
27/11/1990;3.5;null;null;23;89.3;null
28/11/1990;1.4;null;null;20.7;80.3;null
29/11/1990;2.6;null;null;21.7;76.5;null
30/11/1990;3.4;null;null;24.7;66.8;null
01/12/1990;3.9;8.7;null;26.3;58.8;null
02/12/1990;5.4;9.9;null;24.9;59;null
03/12/1990;6.4;12.1;null;26.2;56;null
04/12/1990;6;9;null;24.5;68;null
05/12/1990;5.8;12.2;null;27.4;61;null
06/12/1990;6.6;12.3;null;26.5;49.3;null
07/12/1990;7.4;7.2;null;23.8;77.5;null
08/12/1990;4.2;0;null;20.2;93;null
09/12/1990;1;0;null;20.2;76.5;null
10/12/1990;2;.9;null;22.6;77.8;null
11/12/1990;2.2;.3;null;23.8;88.3;null
12/12/1990;1;9.3;null;25.5;82;null
13/12/1990;3.2;3.8;null;25.8;78.3;null
14/12/1990;2.6;.2;null;22.6;91.5;null
15/12/1990;1.6;0;null;20.1;88.5;null
16/12/1990;1;5;null;23.4;84.5;null
17/12/1990;2.4;5.5;null;25.1;76;null
18/12/1990;3.3;9.4;null;26.2;67.3;null
19/12/1990;3.9;7.5;null;24.7;74.8;null
20/12/1990;3.8;0;null;24;83.8;null
21/12/1990;2.3;10.1;null;24.6;73.5;null
22/12/1990;3.4;10.8;null;25.4;69.5;null
23/12/1990;3.6;8.8;null;25.1;69.3;null
24/12/1990;4.2;6.8;null;25;81.8;null
25/12/1990;2.8;.8;null;22.5;89.8;null
26/12/1990;1.7;3.1;null;22.6;80.5;null
27/12/1990;2.6;7.3;null;22.6;80.8;null
28/12/1990;2.5;8.2;null;23.9;74.3;null
29/12/1990;2.7;.2;null;19;89.3;null
30/12/1990;1.3;7.8;null;17.8;74.5;null
31/12/1990;null;9.6;null;20.6;65.8;null
01/01/1991;4.5;7.8;null;22;68.3;null
02/01/1991;3.6;7.2;null;22.2;79.8;null
03/01/1991;2.9;5.9;null;22.7;82.8;null
04/01/1991;2;0;null;21;94.8;null
05/01/1991;.7;1.7;null;21.3;87.8;null
06/01/1991;1.6;3.5;null;21.9;74.3;null
07/01/1991;3.9;2.7;null;22.1;78;null
08/01/1991;3.5;4.9;null;24.3;76.3;null
09/01/1991;3.3;4.6;null;24.7;76;null
10/01/1991;2.9;7.3;null;23.3;82.5;null
11/01/1991;2.3;2.8;null;22.5;91;null
12/01/1991;1;0;null;22.1;89.8;null
13/01/1991;1.3;2;null;23.2;85;null
14/01/1991;2;0;null;23.6;91.8;null
15/01/1991;.3;0;null;23.9;93.5;null
16/01/1991;.6;0;null;24;91.3;null
17/01/1991;.8;4.3;null;24;82;null
18/01/1991;2.4;0;null;21;89.8;null
19/01/1991;2;0;null;21.1;88.8;null
20/01/1991;1.1;4.2;null;22.3;87.8;null
21/01/1991;1.7;7.5;null;24.8;76.8;null
22/01/1991;2.5;6.9;null;25.6;75.3;null
23/01/1991;2.9;1.7;null;24;81.8;null
24/01/1991;2.3;5.1;null;24.8;77.3;null
25/01/1991;3.2;3.2;null;23.6;83.5;null
26/01/1991;2;.1;null;23.4;90;null
27/01/1991;1.9;.3;null;20.9;91.5;null
28/01/1991;.5;3;null;24;87;null
29/01/1991;1.6;5.8;null;24.2;87.5;null
30/01/1991;2.4;6.7;null;25.9;74.3;null
31/01/1991;2.6;5.2;null;25.1;84.5;null
01/02/1991;null;null;null;null;null;null
02/02/1991;null;null;null;null;null;null
03/02/1991;null;null;null;null;null;null
04/02/1991;null;null;null;null;null;null
05/02/1991;null;null;null;null;null;null
06/02/1991;null;null;null;null;null;null
07/02/1991;null;null;null;null;null;null
08/02/1991;null;null;null;null;null;null
09/02/1991;null;null;null;null;null;null
10/02/1991;null;null;null;null;null;null
11/02/1991;null;null;null;null;null;null
12/02/1991;null;null;null;null;null;null
13/02/1991;null;null;null;null;null;null
14/02/1991;null;null;null;null;null;null
15/02/1991;null;null;null;null;null;null
16/02/1991;null;null;null;null;null;null
17/02/1991;null;null;null;null;null;null
18/02/1991;null;null;null;null;null;null
19/02/1991;null;null;null;null;null;null
20/02/1991;null;null;null;null;null;null
21/02/1991;null;null;null;null;null;null
22/02/1991;null;null;null;null;null;null
23/02/1991;null;null;null;null;null;null
24/02/1991;null;null;null;null;null;null
25/02/1991;null;null;null;null;null;null
26/02/1991;null;null;null;null;null;null
27/02/1991;null;null;null;null;null;null
28/02/1991;null;null;null;null;null;null
01/03/1991;null;null;null;null;null;null
02/03/1991;null;null;null;null;null;null
03/03/1991;null;null;null;null;null;null
04/03/1991;null;null;null;null;null;null
05/03/1991;null;null;null;null;null;null
06/03/1991;null;null;null;null;null;null
07/03/1991;null;null;null;null;null;null
08/03/1991;null;null;null;null;null;null
09/03/1991;null;null;null;null;null;null
10/03/1991;null;null;null;null;null;null
11/03/1991;null;null;null;null;null;null
12/03/1991;null;null;null;null;null;null
13/03/1991;null;null;null;null;null;null
14/03/1991;null;null;null;null;null;null
15/03/1991;null;null;null;null;null;null
16/03/1991;null;null;null;null;null;null
17/03/1991;null;null;null;null;null;null
18/03/1991;null;null;null;null;null;null
19/03/1991;null;null;null;null;null;null
20/03/1991;null;null;null;null;null;null
21/03/1991;null;null;null;null;null;null
22/03/1991;null;null;null;null;null;null
23/03/1991;null;null;null;null;null;null
24/03/1991;null;null;null;null;null;null
25/03/1991;null;null;null;null;null;null
26/03/1991;null;null;null;null;null;null
27/03/1991;null;null;null;null;null;null
28/03/1991;null;null;null;null;null;null
29/03/1991;null;null;null;null;null;null
30/03/1991;null;null;null;null;null;null
31/03/1991;null;null;null;null;null;null
01/04/1991;null;null;null;null;null;null
02/04/1991;null;null;null;null;null;null
03/04/1991;null;null;null;null;null;null
04/04/1991;null;null;null;null;null;null
05/04/1991;null;null;null;null;null;null
06/04/1991;null;null;null;null;null;null
07/04/1991;null;null;null;null;null;null
08/04/1991;null;null;null;null;null;null
09/04/1991;null;null;null;null;null;null
10/04/1991;null;null;null;null;null;null
11/04/1991;null;null;null;null;null;null
12/04/1991;null;null;null;null;null;null
13/04/1991;null;null;null;null;null;null
14/04/1991;null;null;null;null;null;null
15/04/1991;null;null;null;null;null;null
16/04/1991;null;null;null;null;null;null
17/04/1991;null;null;null;null;null;null
18/04/1991;null;null;null;null;null;null
19/04/1991;null;null;null;null;null;null
20/04/1991;null;null;null;null;null;null
21/04/1991;null;null;null;null;null;null
22/04/1991;null;null;null;null;null;null
23/04/1991;null;null;null;null;null;null
24/04/1991;null;null;null;null;null;null
25/04/1991;null;null;null;null;null;null
26/04/1991;null;null;null;null;null;null
27/04/1991;null;null;null;null;null;null
28/04/1991;null;null;null;null;null;null
29/04/1991;null;null;null;null;null;null
30/04/1991;null;null;null;null;null;null
01/05/1991;null;null;null;null;null;null
02/05/1991;null;null;null;null;null;null
03/05/1991;null;null;null;null;null;null
04/05/1991;null;null;null;null;null;null
05/05/1991;null;null;null;null;null;null
06/05/1991;null;null;null;null;null;null
07/05/1991;null;null;null;null;null;null
08/05/1991;null;null;null;null;null;null
09/05/1991;null;null;null;null;null;null
10/05/1991;null;null;null;null;null;null
11/05/1991;null;null;null;null;null;null
12/05/1991;null;null;null;null;null;null
13/05/1991;null;null;null;null;null;null
14/05/1991;null;null;null;null;null;null
15/05/1991;null;null;null;null;null;null
16/05/1991;null;null;null;null;null;null
17/05/1991;null;null;null;null;null;null
18/05/1991;null;null;null;null;null;null
19/05/1991;null;null;null;null;null;null
20/05/1991;null;null;null;null;null;null
21/05/1991;null;null;null;null;null;null
22/05/1991;null;null;null;null;null;null
23/05/1991;null;null;null;null;null;null
24/05/1991;null;null;null;null;null;null
25/05/1991;null;null;null;null;null;null
26/05/1991;null;null;null;null;null;null
27/05/1991;null;null;null;null;null;null
28/05/1991;null;null;null;null;null;null
29/05/1991;null;null;null;null;null;null
30/05/1991;null;null;null;null;null;null
31/05/1991;null;null;null;null;null;null
01/06/1991;null;null;null;null;null;null
02/06/1991;null;null;null;null;null;null
03/06/1991;null;null;null;null;null;null
04/06/1991;null;null;null;null;null;null
05/06/1991;null;null;null;null;null;null
06/06/1991;null;null;null;null;null;null
07/06/1991;null;null;null;null;null;null
08/06/1991;null;null;null;null;null;null
09/06/1991;null;null;null;null;null;null
10/06/1991;null;null;null;null;null;null
11/06/1991;null;null;null;null;null;null
12/06/1991;null;null;null;null;null;null
13/06/1991;null;null;null;null;null;null
14/06/1991;null;null;null;null;null;null
15/06/1991;null;null;null;null;null;null
16/06/1991;null;null;null;null;null;null
17/06/1991;null;null;null;null;null;null
18/06/1991;null;null;null;null;null;null
19/06/1991;null;null;null;null;null;null
20/06/1991;null;null;null;null;null;null
21/06/1991;null;null;null;null;null;null
22/06/1991;null;null;null;null;null;null
23/06/1991;null;null;null;null;null;null
24/06/1991;null;null;null;null;null;null
25/06/1991;null;null;null;null;null;null
26/06/1991;null;null;null;null;null;null
27/06/1991;null;null;null;null;null;null
28/06/1991;null;null;null;null;null;null
29/06/1991;null;null;null;null;null;null
30/06/1991;null;null;null;null;null;null
01/07/1991;null;null;null;null;null;null
02/07/1991;null;null;null;null;null;null
03/07/1991;null;null;null;null;null;null
04/07/1991;null;null;null;null;null;null
05/07/1991;null;null;null;null;null;null
06/07/1991;null;null;null;null;null;null
07/07/1991;null;null;null;null;null;null
08/07/1991;null;null;null;null;null;null
09/07/1991;null;null;null;null;null;null
10/07/1991;null;null;null;null;null;null
11/07/1991;null;null;null;null;null;null
12/07/1991;null;null;null;null;null;null
13/07/1991;null;null;null;null;null;null
14/07/1991;null;null;null;null;null;null
15/07/1991;null;null;null;null;null;null
16/07/1991;null;null;null;null;null;null
17/07/1991;null;null;null;null;null;null
18/07/1991;null;null;null;null;null;null
19/07/1991;null;null;null;null;null;null
20/07/1991;null;null;null;null;null;null
21/07/1991;null;null;null;null;null;null
22/07/1991;null;null;null;null;null;null
23/07/1991;null;null;null;null;null;null
24/07/1991;null;null;null;null;null;null
25/07/1991;null;null;null;null;null;null
26/07/1991;null;null;null;null;null;null
27/07/1991;null;null;null;null;null;null
28/07/1991;null;null;null;null;null;null
29/07/1991;null;null;null;null;null;null
30/07/1991;null;null;null;null;null;null
31/07/1991;null;null;null;null;null;null
01/08/1991;null;null;null;null;null;null
02/08/1991;null;null;null;null;null;null
03/08/1991;null;null;null;null;null;null
04/08/1991;null;null;null;null;null;null
05/08/1991;null;null;null;null;null;null
06/08/1991;null;null;null;null;null;null
07/08/1991;null;null;null;null;null;null
08/08/1991;null;null;null;null;null;null
09/08/1991;null;null;null;null;null;null
10/08/1991;null;null;null;null;null;null
11/08/1991;null;null;null;null;null;null
12/08/1991;null;null;null;null;null;null
13/08/1991;null;null;null;null;null;null
14/08/1991;null;null;null;null;null;null
15/08/1991;null;null;null;null;null;null
16/08/1991;null;null;null;null;null;null
17/08/1991;null;null;null;null;null;null
18/08/1991;null;null;null;null;null;null
19/08/1991;null;null;null;null;null;null
20/08/1991;null;null;null;null;null;null
21/08/1991;null;null;null;null;null;null
22/08/1991;null;null;null;null;null;null
23/08/1991;null;null;null;null;null;null
24/08/1991;null;null;null;null;null;null
25/08/1991;null;null;null;null;null;null
26/08/1991;null;null;null;null;null;null
27/08/1991;null;null;null;null;null;null
28/08/1991;null;null;null;null;null;null
29/08/1991;null;null;null;null;null;null
30/08/1991;null;null;null;null;null;null
31/08/1991;null;null;null;null;null;null
01/09/1991;null;null;null;null;null;null
02/09/1991;null;null;null;null;null;null
03/09/1991;null;null;null;null;null;null
04/09/1991;null;null;null;null;null;null
05/09/1991;null;null;null;null;null;null
06/09/1991;null;null;null;null;null;null
07/09/1991;null;null;null;null;null;null
08/09/1991;null;null;null;null;null;null
09/09/1991;null;null;null;null;null;null
10/09/1991;null;null;null;null;null;null
11/09/1991;null;null;null;null;null;null
12/09/1991;null;null;null;null;null;null
13/09/1991;null;null;null;null;null;null
14/09/1991;null;null;null;null;null;null
15/09/1991;null;null;null;null;null;null
16/09/1991;null;null;null;null;null;null
17/09/1991;null;null;null;null;null;null
18/09/1991;null;null;null;null;null;null
19/09/1991;null;null;null;null;null;null
20/09/1991;null;null;null;null;null;null
21/09/1991;null;null;null;null;null;null
22/09/1991;null;null;null;null;null;null
23/09/1991;null;null;null;null;null;null
24/09/1991;null;null;null;null;null;null
25/09/1991;null;null;null;null;null;null
26/09/1991;null;null;null;null;null;null
27/09/1991;null;null;null;null;null;null
28/09/1991;null;null;null;null;null;null
29/09/1991;null;null;null;null;null;null
30/09/1991;null;null;null;null;null;null
01/10/1991;null;null;null;null;null;null
02/10/1991;null;null;null;null;null;null
03/10/1991;null;null;null;null;null;null
04/10/1991;null;null;null;null;null;null
05/10/1991;null;null;null;null;null;null
06/10/1991;null;null;null;null;null;null
07/10/1991;null;null;null;null;null;null
08/10/1991;null;null;null;null;null;null
09/10/1991;null;null;null;null;null;null
10/10/1991;null;null;null;null;null;null
11/10/1991;null;null;null;null;null;null
12/10/1991;null;null;null;null;null;null
13/10/1991;null;null;null;null;null;null
14/10/1991;null;null;null;null;null;null
15/10/1991;null;null;null;null;null;null
16/10/1991;null;null;null;null;null;null
